nr;liste;type;filnavn;mal;bilder;nokler
7f;Drømmene;«ni ting»-ark;ark__drom_lue__drom_ur__drom_symaskin__drom_kopp__drom_soldat__drom_hvitveis__drom_kaape_7a2a2e__drom_kaape_4a4a52__drom_sko.png;mal_ni_ting.png;9;drom_lue drom_ur drom_symaskin drom_kopp drom_soldat drom_hvitveis drom_kaape_7a2a2e drom_kaape_4a4a52 drom_sko
7g;Drømmene;«ni ting»-ark;ark__drom_bord__drom_brev__drom_foto__drom_notat__drom_speil__drom_koffert__drom_bok__drom_kommode__drom_mappe.png;mal_ni_ting.png;9;drom_bord drom_brev drom_foto drom_notat drom_speil drom_koffert drom_bok drom_kommode drom_mappe
7h;Drømmene;enkeltbilde;drom_hest.png;;1;drom_hest
8a;Møblene i de nye rommene, parken og skogen;«ni ting»-ark;ark__prop_elektrostol__prop_spole__prop_rontgen__prop_lysskjerm__prop_tannlegestol__prop_instrumentbord__prop_spyttkum__prop_frisorstol__prop_harhaug.png;mal_ni_ting.png;9;prop_elektrostol prop_spole prop_rontgen prop_lysskjerm prop_tannlegestol prop_instrumentbord prop_spyttkum prop_frisorstol prop_harhaug
8b;Møblene i de nye rommene, parken og skogen;«ni ting»-ark;ark__prop_piano__prop_grammofon__prop_lenestol__prop_kortbord__prop_globus__prop_bjorn__prop_gevir__prop_kors__kiste12.png;mal_ni_ting.png;9;prop_piano prop_grammofon prop_lenestol prop_kortbord prop_globus prop_bjorn prop_gevir prop_kors kiste12
8c;Møblene i de nye rommene, parken og skogen;«ni ting»-ark;ark__prop_komfyr__prop_gryte__prop_kjottkrok__prop_kjele__prop_kullhaug__prop_ror__prop_vedovn__prop_kloakk__prop_kullsjakt.png;mal_ni_ting.png;9;prop_komfyr prop_gryte prop_kjottkrok prop_kjele prop_kullhaug prop_ror prop_vedovn prop_kloakk prop_kullsjakt
8d;Møblene i de nye rommene, parken og skogen;«ni ting»-ark;ark__prop_plantebord__prop_kjempeplante__prop_vannkanne__prop_busk__prop_blomsterbed__prop_hagenisse__prop_fuglebad__prop_bronn__prop_lyktestolpe.png;mal_ni_ting.png;9;prop_plantebord prop_kjempeplante prop_vannkanne prop_busk prop_blomsterbed prop_hagenisse prop_fuglebad prop_bronn prop_lyktestolpe
8e;Møblene i de nye rommene, parken og skogen;«ni ting»-ark;ark__prop_engel__prop_grav__prop_statue__prop_fontene__prop_siv__prop_vak__prop_snomann__prop_liggestol__prop_teppe.png;mal_ni_ting.png;9;prop_engel prop_grav prop_statue prop_fontene prop_siv prop_vak prop_snomann prop_liggestol prop_teppe
8f;Møblene i de nye rommene, parken og skogen;«ni ting»-ark;ark__prop_baal__prop_stubbe__prop_sopp__prop_stein__prop_vedstabel__prop_robat__prop_ruinmur__prop_skilt__prop_kjerre.png;mal_ni_ting.png;9;prop_baal prop_stubbe prop_sopp prop_stein prop_vedstabel prop_robat prop_ruinmur prop_skilt prop_kjerre
8g;Møblene i de nye rommene, parken og skogen;enkeltbilde;prop_utgang.png;;1;prop_utgang
8h;Møblene i de nye rommene, parken og skogen;enkeltbilde;prop_vindu.png;;1;prop_vindu
8i;Møblene i de nye rommene, parken og skogen;enkeltbilde;prop_porten.png;;1;prop_porten
8j;Møblene i de nye rommene, parken og skogen;enkeltbilde;prop_langbord.png;;1;prop_langbord
8k;Møblene i de nye rommene, parken og skogen;enkeltbilde;prop_tre.png;;1;prop_tre
8l;Møblene i de nye rommene, parken og skogen;enkeltbilde;prop_bjork.png;;1;prop_bjork
8m;Møblene i de nye rommene, parken og skogen;enkeltbilde;prop_bjork_dod.png;;1;prop_bjork_dod
8n;Møblene i de nye rommene, parken og skogen;enkeltbilde;prop_lysthus.png;;1;prop_lysthus
9a;Delark til oppskriftssystemet;delark;hoder_pasienter.png;mal_hoder.png;0;
9b;Delark til oppskriftssystemet;delark;hoder_kultister.png;mal_hoder.png;0;
9c;Delark til oppskriftssystemet;delark;kropper_pasienter.png;mal_kropper.png;0;
9d;Delark til oppskriftssystemet;delark;kropper_kultister.png;mal_kropper.png;0;
9e;Delark til oppskriftssystemet;delark;hatter_kultister.png;mal_hatter_og_har.png;0;
9f;Delark til oppskriftssystemet;delark;tilbehor_ansikt.png;mal_tilbehor.png;0;
9g;Delark til oppskriftssystemet;delark;har_personale.png;mal_hatter_og_har.png;0;
9h;Delark til oppskriftssystemet;delark;kropper_personale.png;mal_kropper.png;0;
9i;Delark til oppskriftssystemet;delark;hatter_pasienter.png;mal_hatter_og_har.png;0;
9j;Delark til oppskriftssystemet;delark;har_pasienter.png;mal_hatter_og_har.png;0;
9k;Delark til oppskriftssystemet;delark;har_kultister.png;mal_hatter_og_har.png;0;
10a;Historien;«ni ting»-ark;ark__historie_1__historie_2__historie_3__historie_4__historie_5__historie_slutt_tilgivelse__historie_slutt_sannheten__historie_slutt_gjentakelse__historie_slutt_fornektelse.png;mal_ni_ting.png;9;historie_1 historie_2 historie_3 historie_4 historie_5 historie_slutt_tilgivelse historie_slutt_sannheten historie_slutt_gjentakelse historie_slutt_fornektelse
10b;Historien;enkeltbilde;prop_forstander.png;;1;prop_forstander
10c;Historien;enkeltbilde;prop_venterom.png;;1;prop_venterom
10d;Historien;enkeltbilde;prop_skrin.png;;1;prop_skrin
