nr;bestilling_i_claude_artifact;levert_i_gpt_grafikk;manifestnokler;opphav
6a;figur_baklengs.png;hode_baklengs_f.png hode_baklengs_b.png hode_baklengs_s.png kropp_baklengs_f.png kropp_baklengs_b.png kropp_baklengs_s.png;hode_baklengs_f hode_baklengs_b hode_baklengs_s kropp_baklengs_f kropp_baklengs_b kropp_baklengs_s;innebygd ChatGPT-bildegenerator
6b;ark__prop_telefon__prop_kaffebord__prop_ku__prop_brennevin__prop_badekarmann__prop_heis__prop_rotter__prop_radiobord__prop_utedo.png;prop_telefon.png prop_kaffebord.png prop_ku.png prop_brennevin.png prop_badekarmann.png prop_heis.png prop_rotter.png prop_radiobord.png prop_utedo.png;prop_telefon prop_kaffebord prop_ku prop_brennevin prop_badekarmann prop_heis prop_rotter prop_radiobord prop_utedo;innebygd ChatGPT-bildegenerator
6c;ark__prop_kubbekona__prop_tannfe__prop_tannglass__prop_lampemann__prop_lampemann_paa.png;prop_kubbekona.png prop_tannfe.png prop_tannglass.png prop_lampemann.png prop_lampemann_paa.png;prop_kubbekona prop_tannfe prop_tannglass prop_lampemann prop_lampemann_paa;innebygd ChatGPT-bildegenerator
6d;prop_damer.png;prop_damer.png;prop_damer;innebygd ChatGPT-bildegenerator
6e;prop_kjempe.png;prop_kjempe.png;prop_kjempe;innebygd ChatGPT-bildegenerator
7a;figur_blank_m.png;hode_blank_m_f.png hode_blank_m_b.png hode_blank_m_s.png kropp_blank_m_f.png kropp_blank_m_b.png kropp_blank_m_s.png;hode_blank_m_f hode_blank_m_b hode_blank_m_s kropp_blank_m_f kropp_blank_m_b kropp_blank_m_s;innebygd ChatGPT-bildegenerator
7b;figur_ansikt_m.png;hode_ansikt_m_f.png hode_ansikt_m_b.png hode_ansikt_m_s.png kropp_ansikt_m_f.png kropp_ansikt_m_b.png kropp_ansikt_m_s.png;hode_ansikt_m_f hode_ansikt_m_b hode_ansikt_m_s kropp_ansikt_m_f kropp_ansikt_m_b kropp_ansikt_m_s;innebygd ChatGPT-bildegenerator
7c;figur_blank_k.png;hode_blank_k_f.png hode_blank_k_b.png hode_blank_k_s.png kropp_blank_k_f.png kropp_blank_k_b.png kropp_blank_k_s.png;hode_blank_k_f hode_blank_k_b hode_blank_k_s kropp_blank_k_f kropp_blank_k_b kropp_blank_k_s;innebygd ChatGPT-bildegenerator
7d;figur_ansikt_k.png;hode_ansikt_k_f.png hode_ansikt_k_b.png hode_ansikt_k_s.png kropp_ansikt_k_f.png kropp_ansikt_k_b.png kropp_ansikt_k_s.png;hode_ansikt_k_f hode_ansikt_k_b hode_ansikt_k_s kropp_ansikt_k_f kropp_ansikt_k_b kropp_ansikt_k_s;innebygd ChatGPT-bildegenerator
7e;ark__drom_vindu_sno__drom_vindu_rim__drom_vindu_regn__drom_vindu_brann__drom_vindu_taake__drom_vindu_klart__drom_dor__drom_dor_aapen__drom_dorlaast.png;drom_vindu_sno.png drom_vindu_rim.png drom_vindu_regn.png drom_vindu_brann.png drom_vindu_taake.png drom_vindu_klart.png drom_dor.png drom_dor_aapen.png drom_dorlaast.png;drom_vindu_sno drom_vindu_rim drom_vindu_regn drom_vindu_brann drom_vindu_taake drom_vindu_klart drom_dor drom_dor_aapen drom_dorlaast;innebygd ChatGPT-bildegenerator
7f;ark__drom_lue__drom_ur__drom_symaskin__drom_kopp__drom_soldat__drom_hvitveis__drom_kaape_7a2a2e__drom_kaape_4a4a52__drom_sko.png;drom_lue.png drom_ur.png drom_symaskin.png drom_kopp.png drom_soldat.png drom_hvitveis.png drom_kaape_7a2a2e.png drom_kaape_4a4a52.png drom_sko.png;drom_lue drom_ur drom_symaskin drom_kopp drom_soldat drom_hvitveis drom_kaape_7a2a2e drom_kaape_4a4a52 drom_sko;innebygd ChatGPT-bildegenerator
7g;ark__drom_bord__drom_brev__drom_foto__drom_notat__drom_speil__drom_koffert__drom_bok__drom_kommode__drom_mappe.png;drom_bord.png drom_brev.png drom_foto.png drom_notat.png drom_speil.png drom_koffert.png drom_bok.png drom_kommode.png drom_mappe.png;drom_bord drom_brev drom_foto drom_notat drom_speil drom_koffert drom_bok drom_kommode drom_mappe;innebygd ChatGPT-bildegenerator
7h;drom_hest.png;drom_hest.png;drom_hest;innebygd ChatGPT-bildegenerator
8a;ark__prop_elektrostol__prop_spole__prop_rontgen__prop_lysskjerm__prop_tannlegestol__prop_instrumentbord__prop_spyttkum__prop_frisorstol__prop_harhaug.png;prop_elektrostol.png prop_spole.png prop_rontgen.png prop_lysskjerm.png prop_tannlegestol.png prop_instrumentbord.png prop_spyttkum.png prop_frisorstol.png prop_harhaug.png;prop_elektrostol prop_spole prop_rontgen prop_lysskjerm prop_tannlegestol prop_instrumentbord prop_spyttkum prop_frisorstol prop_harhaug;innebygd ChatGPT-bildegenerator
8b;ark__prop_piano__prop_grammofon__prop_lenestol__prop_kortbord__prop_globus__prop_bjorn__prop_gevir__prop_kors__kiste12.png;prop_piano.png prop_grammofon.png prop_lenestol.png prop_kortbord.png prop_globus.png prop_bjorn.png prop_gevir.png prop_kors.png kiste12.png;prop_piano prop_grammofon prop_lenestol prop_kortbord prop_globus prop_bjorn prop_gevir prop_kors kiste12;innebygd ChatGPT-bildegenerator
8c;ark__prop_komfyr__prop_gryte__prop_kjottkrok__prop_kjele__prop_kullhaug__prop_ror__prop_vedovn__prop_kloakk__prop_kullsjakt.png;prop_komfyr.png prop_gryte.png prop_kjottkrok.png prop_kjele.png prop_kullhaug.png prop_ror.png prop_vedovn.png prop_kloakk.png prop_kullsjakt.png;prop_komfyr prop_gryte prop_kjottkrok prop_kjele prop_kullhaug prop_ror prop_vedovn prop_kloakk prop_kullsjakt;innebygd ChatGPT-bildegenerator
8d;ark__prop_plantebord__prop_kjempeplante__prop_vannkanne__prop_busk__prop_blomsterbed__prop_hagenisse__prop_fuglebad__prop_bronn__prop_lyktestolpe.png;prop_plantebord.png prop_kjempeplante.png prop_vannkanne.png prop_busk.png prop_blomsterbed.png prop_hagenisse.png prop_fuglebad.png prop_bronn.png prop_lyktestolpe.png;prop_plantebord prop_kjempeplante prop_vannkanne prop_busk prop_blomsterbed prop_hagenisse prop_fuglebad prop_bronn prop_lyktestolpe;innebygd ChatGPT-bildegenerator
8e;ark__prop_engel__prop_grav__prop_statue__prop_fontene__prop_siv__prop_vak__prop_snomann__prop_liggestol__prop_teppe.png;prop_engel.png prop_grav.png prop_statue.png prop_fontene.png prop_siv.png prop_vak.png prop_snomann.png prop_liggestol.png prop_teppe.png;prop_engel prop_grav prop_statue prop_fontene prop_siv prop_vak prop_snomann prop_liggestol prop_teppe;innebygd ChatGPT-bildegenerator
8f;ark__prop_baal__prop_stubbe__prop_sopp__prop_stein__prop_vedstabel__prop_robat__prop_ruinmur__prop_skilt__prop_kjerre.png;prop_baal.png prop_stubbe.png prop_sopp.png prop_stein.png prop_vedstabel.png prop_robat.png prop_ruinmur.png prop_skilt.png prop_kjerre.png;prop_baal prop_stubbe prop_sopp prop_stein prop_vedstabel prop_robat prop_ruinmur prop_skilt prop_kjerre;innebygd ChatGPT-bildegenerator
8g;prop_utgang.png;prop_utgang.png;prop_utgang;innebygd ChatGPT-bildegenerator
8h;prop_vindu.png;prop_vindu.png;prop_vindu;innebygd ChatGPT-bildegenerator
8i;prop_porten.png;prop_porten.png;prop_porten;innebygd ChatGPT-bildegenerator
8j;prop_langbord.png;prop_langbord.png;prop_langbord;innebygd ChatGPT-bildegenerator
8k;prop_tre.png;prop_tre.png;prop_tre;innebygd ChatGPT-bildegenerator
8l;prop_bjork.png;prop_bjork.png;prop_bjork;innebygd ChatGPT-bildegenerator
8m;prop_bjork_dod.png;prop_bjork_dod.png;prop_bjork_dod;innebygd ChatGPT-bildegenerator
8n;prop_lysthus.png;prop_lysthus.png;prop_lysthus;innebygd ChatGPT-bildegenerator
9a;hoder_pasienter.png;hoder_pasienter.png;;innebygd ChatGPT-bildegenerator
9b;hoder_kultister.png;hoder_kultister.png;;innebygd ChatGPT-bildegenerator
9c;kropper_pasienter.png;kropper_pasienter.png;;innebygd ChatGPT-bildegenerator
9d;kropper_kultister.png;kropper_kultister.png;;innebygd ChatGPT-bildegenerator
9e;hatter_kultister.png;hatter_kultister.png;;innebygd ChatGPT-bildegenerator
9f;tilbehor_ansikt.png;tilbehor_ansikt.png;;innebygd ChatGPT-bildegenerator
9g;har_personale.png;har_personale.png;;innebygd ChatGPT-bildegenerator
9h;kropper_personale.png;kropper_personale.png;;innebygd ChatGPT-bildegenerator
9i;hatter_pasienter.png;hatter_pasienter.png;;innebygd ChatGPT-bildegenerator
9j;har_pasienter.png;har_pasienter.png;;innebygd ChatGPT-bildegenerator
9k;har_kultister.png;har_kultister.png;;innebygd ChatGPT-bildegenerator
10a;ark__historie_1__historie_2__historie_3__historie_4__historie_5__historie_slutt_tilgivelse__historie_slutt_sannheten__historie_slutt_gjentakelse__historie_slutt_fornektelse.png;historie_1.png historie_2.png historie_3.png historie_4.png historie_5.png historie_slutt_tilgivelse.png historie_slutt_sannheten.png historie_slutt_gjentakelse.png historie_slutt_fornektelse.png;historie_1 historie_2 historie_3 historie_4 historie_5 historie_slutt_tilgivelse historie_slutt_sannheten historie_slutt_gjentakelse historie_slutt_fornektelse;innebygd ChatGPT-bildegenerator
10b;prop_forstander.png;prop_forstander.png;prop_forstander;innebygd ChatGPT-bildegenerator
10c;prop_venterom.png;prop_venterom.png;prop_venterom;innebygd ChatGPT-bildegenerator
10d;prop_skrin.png;prop_skrin.png;prop_skrin;innebygd ChatGPT-bildegenerator
